Tableau complŽmentaire A - Nombre de passages par mois sur les pŽriodes hivernales entre octobre et fŽvrier de 2017 ˆ 2023 ;;;;;;;
;;;;;;;
LectureÊ> En dŽcembre 2023, le nombre de passages quotidiens Žtait en moyenne en France de 62 000.;;;;;;;
ChampÊ> France, y compris Mayotte, ˆ lÕexclusion de la Martinique.;;;;;;;
SourceÊ> RPU, SAE, calculs DREES.;;;;;;;
;;;;;;;
;;;;;;;
PŽriode;Mois;Nombre de passages ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Juillet ; 57 874,5 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Aožt ; 54 721,1 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Septembre ; 55 683,0 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Octobre ; 57 696,8 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Novembre ; 55 706,1 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; DŽcembre ; 59 284,1 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Janvier ; 59 690,4 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; FŽvrier ; 58 198,2 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Mars ; 59 533,1 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Avril ; 59 847,6 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Mai ; 61 161,8 ;;;;;
 juil. 2017 ˆ fin juin 2018 ; Juin ; 62 138,1 ;;;;;
juil. 2018 ˆ fin juin 2019;Juillet; 61 729,0 ;;;;;
juil. 2018 ˆ fin juin 2019;Aožt; 57 968,3 ;;;;;
juil. 2018 ˆ fin juin 2019;Septembre; 59 198,2 ;;;;;
juil. 2018 ˆ fin juin 2019;Octobre; 59 237,1 ;;;;;
juil. 2018 ˆ fin juin 2019;Novembre; 57 922,4 ;;;;;
juil. 2018 ˆ fin juin 2019;DŽcembre; 59 707,9 ;;;;;
juil. 2018 ˆ fin juin 2019;Janvier; 61 266,6 ;;;;;
juil. 2018 ˆ fin juin 2019;FŽvrier; 62 854,3 ;;;;;
juil. 2018 ˆ fin juin 2019;Mars; 60 559,4 ;;;;;
juil. 2018 ˆ fin juin 2019;Avril; 60 699,5 ;;;;;
juil. 2018 ˆ fin juin 2019;Mai; 59 469,9 ;;;;;
juil. 2018 ˆ fin juin 2019;Juin; 61 704,8 ;;;;;
juil. 2019 ˆ fin juin 2020;Juillet; 61 464,2 ;;;;;
juil. 2019 ˆ fin juin 2020;Aožt; 57 094,0 ;;;;;
juil. 2019 ˆ fin juin 2020;Septembre; 59 479,4 ;;;;;
juil. 2019 ˆ fin juin 2020;Octobre; 59 380,0 ;;;;;
juil. 2019 ˆ fin juin 2020;Novembre; 59 518,5 ;;;;;
juil. 2019 ˆ fin juin 2020;DŽcembre; 60 123,8 ;;;;;
juil. 2019 ˆ fin juin 2020;Janvier; 61 567,7 ;;;;;
juil. 2019 ˆ fin juin 2020;FŽvrier; 62 133,6 ;;;;;
juil. 2019 ˆ fin juin 2020;Mars; 43 213,1 ;;;;;
juil. 2019 ˆ fin juin 2020;Avril; 32 291,8 ;;;;;
juil. 2019 ˆ fin juin 2020;Mai; 41 109,4 ;;;;;
juil. 2019 ˆ fin juin 2020;Juin; 49 668,7 ;;;;;
juil. 2020 ˆ fin juin 2021;Juillet; 54 728,2 ;;;;;
juil. 2020 ˆ fin juin 2021;Aožt; 55 840,4 ;;;;;
juil. 2020 ˆ fin juin 2021;Septembre; 56 315,5 ;;;;;
juil. 2020 ˆ fin juin 2021;Octobre; 49 055,5 ;;;;;
juil. 2020 ˆ fin juin 2021;Novembre; 42 136,5 ;;;;;
juil. 2020 ˆ fin juin 2021;DŽcembre; 43 915,0 ;;;;;
juil. 2020 ˆ fin juin 2021;Janvier; 45 808,5 ;;;;;
juil. 2020 ˆ fin juin 2021;FŽvrier; 47 868,7 ;;;;;
juil. 2020 ˆ fin juin 2021;Mars; 51 096,9 ;;;;;
juil. 2020 ˆ fin juin 2021;Avril; 49 855,8 ;;;;;
juil. 2020 ˆ fin juin 2021;Mai; 53 143,4 ;;;;;
juil. 2020 ˆ fin juin 2021;Juin; 60 672,9 ;;;;;
juil. 2021 ˆ fin juin 2022;Juillet; 60 391,7 ;;;;;
juil. 2021 ˆ fin juin 2022;Aožt; 56 565,2 ;;;;;
juil. 2021 ˆ fin juin 2022;Septembre; 60 027,9 ;;;;;
juil. 2021 ˆ fin juin 2022;Octobre; 62 277,6 ;;;;;
juil. 2021 ˆ fin juin 2022;Novembre; 59 235,6 ;;;;;
juil. 2021 ˆ fin juin 2022;DŽcembre; 58 855,6 ;;;;;
juil. 2021 ˆ fin juin 2022;Janvier; 54 394,3 ;;;;;
juil. 2021 ˆ fin juin 2022;FŽvrier; 55 324,9 ;;;;;
juil. 2021 ˆ fin juin 2022;Mars; 62 346,3 ;;;;;
juil. 2021 ˆ fin juin 2022;Avril; 60 590,9 ;;;;;
juil. 2021 ˆ fin juin 2022;Mai; 59 929,9 ;;;;;
juil. 2021 ˆ fin juin 2022;Juin; 61 694,0 ;;;;;
juil. 2022 ˆ fin juin 2023;Juillet; 58 567,1 ;;;;;
juil. 2022 ˆ fin juin 2023;Aožt; 53 960,7 ;;;;;
juil. 2022 ˆ fin juin 2023;Septembre; 56 109,6 ;;;;;
juil. 2022 ˆ fin juin 2023;Octobre; 61 749,6 ;;;;;
juil. 2022 ˆ fin juin 2023;Novembre; 59 439,7 ;;;;;
juil. 2022 ˆ fin juin 2023;DŽcembre; 61 857,2 ;;;;;
juil. 2022 ˆ fin juin 2023;Janvier; 52 857,1 ;;;;;
juil. 2022 ˆ fin juin 2023;FŽvrier; 55 193,8 ;;;;;
juil. 2022 ˆ fin juin 2023;Mars; 56 562,6 ;;;;;
juil. 2022 ˆ fin juin 2023;Avril; 55 087,1 ;;;;;
juil. 2022 ˆ fin juin 2023;Mai; 57 483,5 ;;;;;
juil. 2022 ˆ fin juin 2023;Juin; 59 669,3 ;;;;;
juil. 2023 ˆ fin juin 2024;Juillet; 55 541,9 ;;;;;
juil. 2023 ˆ fin juin 2024;Aožt; 53 942,6 ;;;;;
juil. 2023 ˆ fin juin 2024;Septembre; 58 181,9 ;;;;;
juil. 2023 ˆ fin juin 2024;Octobre; 58 809,5 ;;;;;
juil. 2023 ˆ fin juin 2024;Novembre; 57 526,5 ;;;;;
juil. 2023 ˆ fin juin 2024;DŽcembre; 60 239,7 ;;;;;
