Periode;Mois;Target
2017; Juillet ;57 874,50
2017; Aout;54 721,10
2017; Septembre ;55 683,00
2017; Octobre ;57 696,80
2017; Novembre ;55 706,10
2017; Decembre ;59 284,10
2018; Janvier ;59 690,40
2018; Fevrier ;58 198,20
2018; Mars ;59 533,10
2018; Avril ;59 847,60
2018; Mai ;61 161,80
2018; Juin ;62 138,10
2018;Juillet;61 729,00
2018; Aout;57 968,30
2018;Septembre;59 198,20
2018;Octobre;59 237,10
2018;Novembre;57 922,40
2018;Decembre;59 707,90
2019;Janvier;61 266,60
2019;Fevrier;62 854,30
2019;Mars;60 559,40
2019;Avril;60 699,50
2019;Mai;59 469,90
2019;Juin;61 704,80
2019;Juillet;61 464,20
2019;Aout;57 094,00
2019;Septembre;59 479,40
2019;Octobre;59 380,00
2019;Novembre;59 518,50
2019;Decembre;60 123,80
2020;Janvier;61 567,70
2020;Fevrier;62 133,60
2020;Mars;43 213,10
2020;Avril;32 291,80
2020;Mai;41 109,40
2020;Juin;49 668,70
2020;Juillet;54 728,20
2020;Aout;55 840,40
2020;Septembre;56 315,50
2020;Octobre;49 055,50
2020;Novembre;42 136,50
2020;Decembre;43 915,00
2021;Janvier;45 808,50
2021;Fevrier;47 868,70
2021;Mars;51 096,90
2021;Avril;49 855,80
2021;Mai;53 143,40
2021;Juin;60 672,90
2021;Juillet;60 391,70
2021;Aout;56 565,20
2021;Septembre;60 027,90
2021;Octobre;62 277,60
2021;Novembre;59 235,60
2021;Decembre;58 855,60
2022;Janvier;54 394,30
2022;Fevrier;55 324,90
2022;Mars;62 346,30
2022;Avril;60 590,90
2022;Mai;59 929,90
2022;Juin;61 694,00
2022;Juillet;58 567,10
2022;Aout;53 960,70
2022;Septembre;56 109,60
2022;Octobre;61 749,60
2022;Novembre;59 439,70
2022;Decembre;61 857,20
2023;Janvier;52 857,10
2023;Fevrier;55 193,80
2023;Mars;56 562,60
2023;Avril;55 087,10
2023;Mai;57 483,50
2023;Juin;59 669,30
2023;Juillet;55 541,90
2023;Aout;53 942,60
2023;Septembre;58 181,90
2023;Octobre;58 809,50
2023;Novembre;57 526,50
2023;Decembre;60 239,70
